STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",9/5/2016,0,0,0,81,63
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",9/6/2016,0,0,0,87,64
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",9/7/2016,0,0,0,87,71
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",9/8/2016,0,0,0,91,72
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",9/9/2016,0,0,0,95,74
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",9/10/2016,0,0,0,95,81
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",9/11/2016,0,0,0,85,79
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",9/12/2016,0,0,0,86,71
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",9/13/2016,0,0,0,84,64
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",9/14/2016,0,0,0,93,69
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",9/15/2016,0,0,0,77,65
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",9/16/2016,0,0,0,79,61
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",9/17/2016,0,0,0,79,61
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",9/18/2016,0,0,0,84,61
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",9/19/2016,1.44,0,0,76,71
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",9/20/2016,0.14,0,0,77,68
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",9/21/2016,0,0,0,82,68
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",9/22/2016,0,0,0,84,68
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",9/23/2016,0,0,0,86,66
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",9/24/2016,0,0,0,73,63
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",9/25/2016,0,0,0,77,61
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",9/26/2016,0,0,0,75,53
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",9/27/2016,0.09,0,0,74,55
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",9/28/2016,0,0,0,77,60
